symbol,computed_at,overall_score,profitability_score,growth_score,leverage_score,cashflow_score,dividend_score,trend_score,health_label
JSWENERGY,2026-05-26 03:35:11.145405+00:00,44.37,48.27749956829563,3.1746031746031744,92.58085604583111,65.45665994274198,33.33333333333333,0.0,WEAK
JSWENERGY,2026-05-26 03:35:06,44.37,48.27749956829563,3.1746031746031744,92.58085604583113,65.45665994274198,33.33333333333333,0.0,WEAK
JSWSTEEL,2026-05-26 03:35:11.145405+00:00,44.36,48.24404247970989,3.1746031746031744,91.95746723399229,65.1742780571856,35.0,0.0,WEAK
JSWSTEEL,2026-05-26 03:35:06,44.36,48.24404247970989,3.1746031746031744,91.95746723399228,65.1742780571856,35.0,0.0,WEAK
KOTAKBANK,2026-05-26 03:35:11.145405+00:00,37.24,33.78410464513901,3.1746031746031744,73.07038284402964,71.21038163521727,28.61111111111111,0.0,WEAK
KOTAKBANK,2026-05-26 03:35:06,37.24,33.78410464513901,3.1746031746031744,73.07038284402964,71.21038163521727,28.61111111111111,0.0,WEAK
LICI,2026-05-26 03:35:11.145405+00:00,46.01,48.23109134864445,3.1746031746031744,99.99931110986586,67.31145039914259,32.22222222222222,0.0,WEAK
LICI,2026-05-26 03:35:06,46.01,48.23109134864445,3.1746031746031744,99.99931110986586,67.31145039914259,32.22222222222222,0.0,WEAK
LODHA,2026-05-26 03:35:11.145405+00:00,44.88,48.254835088931095,3.1746031746031744,97.044562711433,66.46284206763231,28.055555555555557,0.0,WEAK
LODHA,2026-05-26 03:35:06,44.88,48.254835088931095,3.1746031746031744,97.044562711433,66.46284206763231,28.05555555555556,0.0,WEAK
LT,2026-05-26 03:35:11.145405+00:00,48.39,48.24188395786565,3.1746031746031744,99.25765375004501,80.22994770428362,38.05555555555556,0.0,WEAK
LT,2026-05-26 03:35:06,48.39,48.24188395786565,3.1746031746031744,99.257653750045,80.22994770428362,38.05555555555556,0.0,WEAK
LTIM,2026-05-26 03:35:11.145405+00:00,46.71,48.246201001554134,3.1746031746031744,99.25765375004501,67.90460775231283,39.72222222222222,0.0,WEAK
LTIM,2026-05-26 03:35:06,46.71,48.24620100155413,3.1746031746031744,99.257653750045,67.90460775231283,39.72222222222222,0.0,WEAK
M&M,2026-05-26 03:35:11.145405+00:00,42.76,48.246201001554134,3.1746031746031744,88.85270817392528,59.33381280036388,33.88888888888889,0.0,WEAK
M&M,2026-05-26 03:35:06,42.76,48.24620100155413,3.1746031746031744,88.85270817392528,59.33381280036388,33.88888888888889,0.0,WEAK
MARUTI,2026-05-26 03:35:11.145405+00:00,46.8,48.240804696943535,3.1746031746031744,99.98807613464957,70.00400981656055,36.11111111111111,0.0,WEAK
MARUTI,2026-05-26 03:35:06,46.8,48.240804696943535,3.1746031746031744,99.98807613464956,70.00400981656055,36.11111111111111,0.0,WEAK
MOTHERSON,2026-05-26 03:35:11.145405+00:00,45.11,48.23648765325505,3.1746031746031744,94.76136220843401,67.36015577074664,33.611111111111114,0.0,WEAK
MOTHERSON,2026-05-26 03:35:06,45.11,48.23648765325505,3.1746031746031744,94.761362208434,67.36015577074664,33.611111111111114,0.0,WEAK
NAUKRI,2026-05-26 03:35:11.145405+00:00,46.86,48.25699361077534,3.1746031746031744,99.95879472934138,66.65047121841768,41.66666666666667,0.0,WEAK
NAUKRI,2026-05-26 03:35:06,46.86,48.25699361077534,3.1746031746031744,99.95879472934138,66.65047121841768,41.66666666666667,0.0,WEAK
NESTLEIND,2026-05-26 03:35:11.145405+00:00,47.88,48.25267656708686,3.1746031746031744,99.37627490150714,68.68649097964715,50.0,0.0,WEAK
NESTLEIND,2026-05-26 03:35:06,47.88,48.25267656708686,3.1746031746031744,99.37627490150714,68.68649097964715,50.0,0.0,WEAK
NHPC,2026-05-26 03:35:11.145405+00:00,45.95,48.280737351061994,3.1746031746031744,94.26883735641715,67.38931004769823,42.77777777777778,0.0,WEAK
NHPC,2026-05-26 03:35:06,45.95,48.280737351062,3.1746031746031744,94.26883735641714,67.38931004769823,42.77777777777778,0.0,WEAK
NTPC,2026-05-26 03:35:11.145405+00:00,45.44,48.25807287169746,3.1746031746031744,90.32649072397889,72.44934891704833,38.05555555555556,0.0,WEAK
NTPC,2026-05-26 03:35:06,45.44,48.25807287169746,3.1746031746031744,90.32649072397888,72.44934891704833,38.05555555555556,0.0,WEAK
ONGC,2026-05-26 03:35:11.145405+00:00,49.8,48.245121740632015,3.1746031746031744,96.34384022150833,94.48234423479666,36.666666666666664,0.0,WEAK
ONGC,2026-05-26 03:35:06,49.8,48.245121740632015,3.1746031746031744,96.34384022150832,94.48234423479666,36.66666666666666,0.0,WEAK
PFC,2026-05-26 03:35:11.145405+00:00,25.02,48.266706959074426,3.1746031746031744,44.352609976304805,0.0,34.44444444444444,0.0,POOR
